Filter,Selected Values,,,
Subscription Name,Azure subscription 1,,,
Subscription ID,2a0098b0-8f3a-4bb2-ae66-42a2cfa2a4ad,,,
Providers ,Compute,,,
Regions ,South India,,,
Show by usage,Show all,,,
Report Generated Date and Time,"Aug 17, 2025 23:30:12",,,
,,,,
Quota,Region,Usage,Current Limit,Usage%
Total Regional Spot vCPUs,South India,0,3,0%
Total Regional vCPUs,South India,0,4,0%
Virtual Machines,South India,0,25000,0%
Availability Sets,South India,0,2500,0%
Virtual Machine Scale Sets,South India,0,2500,0%
Dedicated vCPUs,South India,0,0,0%
Cloud Services,South India,0,2500,0%
Basic A Family vCPUs,South India,0,4,0%
Standard A0-A7 Family vCPUs,South India,0,4,0%
Standard A8-A11 Family vCPUs,South India,0,4,0%
Standard Av2 Family vCPUs,South India,0,4,0%
Standard BS Family vCPUs,South India,0,4,0%
Standard Basv2 Family vCPUs,South India,0,4,0%
Standard Bsv2 Family vCPUs,South India,0,4,0%
Standard Bpsv2 Family vCPUs,South India,0,4,0%
Standard D Family vCPUs,South India,0,4,0%
Standard Dv2 Family vCPUs,South India,0,4,0%
Standard Dv2 Promo Family vCPUs,South India,0,4,0%
Standard Ddsv6 Family vCPUs,South India,0,4,0%
Standard Dldsv6 Family vCPUs,South India,0,4,0%
Standard Dlsv6 Family vCPUs,South India,0,4,0%
Standard Dsv6 Family vCPUs,South India,0,4,0%
Standard DADSv5 Family vCPUs,South India,0,4,0%
standard Dadv6 Family vCPUs,South India,0,4,0%
standard Daldv6 Family vCPUs,South India,0,4,0%
standard Dalv6 Family vCPUs,South India,0,4,0%
Standard DASv4 Family vCPUs,South India,0,4,0%
Standard DASv5 Family vCPUs,South India,0,4,0%
standard Dav6 Family vCPUs,South India,0,4,0%
Standard DAv4 Family vCPUs,South India,0,4,0%
Standard DDSv4 Family vCPUs,South India,0,4,0%
Standard DDSv5 Family vCPUs,South India,0,4,0%
Standard DDv4 Family vCPUs,South India,0,4,0%
Standard DDv5 Family vCPUs,South India,0,4,0%
Standard DLDSv5 Family vCPUs,South India,0,4,0%
Standard DLSv5 Family vCPUs,South India,0,4,0%
Standard DPDSv5 Family vCPUs,South India,0,4,0%
Standard Dpdsv6 Family vCPUs,South India,0,4,0%
Standard DPLDSv5 Family vCPUs,South India,0,4,0%
Standard Dpldsv6 Family vCPUs,South India,0,4,0%
Standard DPLSv5 Family vCPUs,South India,0,4,0%
Standard Dplsv6 Family vCPUs,South India,0,4,0%
Standard DPSv5 Family vCPUs,South India,0,4,0%
Standard Dpsv6 Family vCPUs,South India,0,4,0%
Standard DSv3 Family vCPUs,South India,0,4,0%
Standard DSv4 Family vCPUs,South India,0,4,0%
Standard DSv5 Family vCPUs,South India,0,4,0%
Standard Dv3 Family vCPUs,South India,0,4,0%
Standard Dv4 Family vCPUs,South India,0,4,0%
Standard Dv5 Family vCPUs,South India,0,4,0%
standard DCADCCV5 Family vCPUs,South India,0,4,0%
Standard DCADSv5 Family vCPUs,South India,0,4,0%
standard DCACCV5 Family vCPUs,South India,0,4,0%
Standard DCASv5 Family vCPUs,South India,0,4,0%
Standard DDCSv3 Family vCPUs,South India,0,4,0%
Standard DCEDV5 Family vCPUs,South India,0,4,0%
Standard DCEV5 Family vCPUs,South India,0,4,0%
Standard DCSv3 Family vCPUs,South India,0,4,0%
Standard DCSv2 Family vCPUs,South India,0,0,0%
Standard DCS Family vCPUs,South India,0,0,0%
Standard DS Family vCPUs,South India,0,4,0%
Standard DSv2 Family vCPUs,South India,0,4,0%
Standard DSv2 Promo Family vCPUs,South India,0,4,0%
Standard EIDSv5 Family vCPUs,South India,0,4,0%
Standard EIDv5 Family vCPUs,South India,0,4,0%
Standard EISv5 Family vCPUs,South India,0,4,0%
Standard EIv5 Family vCPUs,South India,0,4,0%
Standard EIADSv5 Family vCPUs,South India,0,0,0%
Standard EIASv5 Family vCPUs,South India,0,4,0%
Standard EIBDSv5 Family vCPUs,South India,0,4,0%
Standard EIBSv5 Family vCPUs,South India,0,4,0%
Standard EADSv5 Family vCPUs,South India,0,4,0%
Standard EASv4 Family vCPUs,South India,0,4,0%
Standard EASv5 Family vCPUs,South India,0,4,0%
Standard EDSv4 Family vCPUs,South India,0,4,0%
Standard EDSv5 Family vCPUs,South India,0,4,0%
